RA,DEC,mag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,color,V,I,color_err,V_err,I_err,catalog
266.02968414227,-39.19478314558,14.280375,14.651326,13.712202,0.002784,0.00332,0.003937,0.9391239999999996,14.457171803933523,13.647729883293183,0.005149987281537693,0.045974267380856,0.04972214375017298,Gaia3
266.05794002513,-39.1869683386,14.496717,14.841724,13.768113,0.002805,0.00511,0.006618,1.0736109999999996,14.721319319798397,13.790365813294406,0.008361221441870799,0.04605272369656255,0.049840537529087584,Gaia3
266.03675222049,-39.17207178048,13.512885,13.898666,12.954522,0.002761,0.002866,0.003804,0.9441439999999997,13.691353674861876,12.877426060549405,0.004762811354651788,0.04596856014328765,0.049708465380737886,Gaia3
266.04494394393,-39.17948228609,11.568559,12.909236,10.426773,0.002818,0.003324,0.0039,2.482462999999999,12.67055492121111,10.2994918777408,0.005124351276015336,0.04615870547746148,0.049658444397761306,Gaia3
266.12679231475,-39.17508279975,14.545653,14.99307,13.92228,0.002766,0.003027,0.003931,1.0707899999999988,14.76918821941412,13.840812099793071,0.0049614000040311195,0.04597956086801398,0.04970821771317623,Gaia3
266.10294815144,-39.1801620097,13.809232,14.230843,13.204933,0.002761,0.002922,0.003811,1.0259099999999997,14.01616124062692,13.128624810809312,0.004802270817019798,0.04597396355466876,0.049705621392732456,Gaia3
266.09684365451,-39.17735863842,13.817941,14.726368,12.875009,0.002766,0.002944,0.003808,1.8513590000000004,14.441889544179789,12.753673186346107,0.004813314866077224,0.04604715391496838,0.04967175887877789,Gaia3
266.08299471019,-39.19115912602,13.881622,14.248717,13.340467,0.002762,0.002861,0.003805,0.9082499999999989,14.048328403425,13.266389183599376,0.004760603533166777,0.04596658589601864,0.04971023083456725,Gaia3
266.11461674014,-39.16804855306,12.554741,12.722439,12.264385,0.002773,0.002875,0.003797,0.45805399999999885,12.61182294290985,12.21426787239868,0.0047626498926542984,0.04594852778975665,0.04973504942150403,Gaia3
266.11164316458,-39.17415979117,13.359574,13.564716,13.009848,0.002775,0.002912,0.003816,0.5548680000000008,13.434304950233837,12.956719208886907,0.004800166663773249,0.045951821153065245,0.049731135098899086,Gaia3
266.11055092705,-39.16783864532,13.687736,14.549335,12.670854,0.013163,0.049935,0.012348,1.878480999999999,14.329391637886923,12.61308916353554,0.05143906423137964,0.05848352155650304,0.0548787027889283,Gaia3
266.12619881697,-39.16875147457,14.143383,14.526214,13.569812,0.002763,0.003081,0.004517,0.9564019999999989,14.325970786586613,13.501073574101524,0.005467709758207727,0.04597835296451602,0.04973052900679742,Gaia3
266.10380391645,-39.1494968868,11.875582,12.70211,10.98397,0.002763,0.002844,0.003794,1.71814,12.41625571672272,10.864351541290077,0.004741600151847475,0.04602976016611034,0.04967519191666464,Gaia3
266.11469323928,-39.15037298462,13.417331,13.670973,13.005207,0.00277,0.002896,0.003852,0.6657659999999996,13.51626807908214,12.945238069562272,0.004819203253650961,0.04595583616413432,0.04972537015251089,Gaia3
266.05564334399,-39.15206196643,13.386074,14.267391,12.467141,0.002762,0.002917,0.003825,1.8002500000000001,13.977347605824999,12.341749610019377,0.004810354872563977,0.04604109566718569,0.04967328326550213,Gaia3
266.05473556396,-39.15453985943,11.45733,11.977012,10.769412,0.00278,0.002848,0.003801,1.2075999999999993,11.735791308032,10.681010217265602,0.004749600509516563,0.04598654739287985,0.04969681319265876,Gaia3
266.09940550534,-39.13347377211,12.975939,13.732317,12.123924,0.002761,0.002885,0.003797,1.6083929999999995,13.452628512932167,12.010969273068264,0.004768693112373662,0.04601970354371744,0.04967959768934661,Gaia3
266.09846537915,-39.13090234296,13.682173,14.063093,13.119697,0.002762,0.002915,0.00381,0.9433959999999999,13.860392005979731,13.047133023594311,0.004797220549443188,0.04596897585601341,0.04970959607472916,Gaia3
266.07911191158,-39.14501982954,13.774964,14.178921,13.170377,0.002801,0.002858,0.003814,1.0085440000000006,13.975654897028916,13.103837982303837,0.004766000419639092,0.0459748202406797,0.049707659691027174,Gaia3
266.09055526601,-39.13108934881,13.786444,14.216111,13.113257,0.004221,0.003314,0.003947,1.102853999999999,14.02227047736873,13.064527213103386,0.005153775800323487,0.04609544448390508,0.04981422062080631,Gaia3
266.12902860591,-39.12854511712,12.766172,13.200391,12.165516,0.002763,0.002857,0.003795,1.0348749999999995,12.976362599706249,12.080692998542345,0.004750207784928992,0.04597392847800531,0.049703824419940285,Gaia3
266.14709657178,-39.12694784867,13.342212,14.157941,12.455813,0.00276,0.002983,0.003805,1.702128,13.873290519036107,12.337586395040663,0.004834905790188677,0.046031409986579654,0.04967714268726969,Gaia3
266.15325492551,-39.11735625788,13.915468,14.868332,12.951752,0.002762,0.002966,0.003844,1.9165799999999997,14.58242764365648,12.826480788512285,0.004855254061323671,0.04605639015553736,0.04966988247521262,Gaia3
266.11385681623,-39.11247724299,10.493407,11.223764,9.666853,0.00276,0.002822,0.003789,1.5569109999999995,10.941519335944717,9.550937459121611,0.0047244264202122984,0.04601338952093584,0.0496806996578752,Gaia3
266.09793352575,-39.12170384416,13.284759,14.087,12.408879,0.002763,0.002961,0.00383,1.678120999999999,13.801617713759018,12.290128666729634,0.004841117742835842,0.046029314312314,0.04967832145157171,Gaia3
266.10912473996,-39.10531269256,12.316296,12.895285,11.591516,0.002761,0.002834,0.003792,1.303768999999999,12.637247571788524,11.49188882723232,0.004734006759606496,0.04599228458884028,0.0496911907657162,Gaia3
266.12410104757,-39.08920146389,13.74586,14.139201,13.168748,0.002768,0.002867,0.003818,0.9704529999999991,13.933233434746198,13.09573365721788,0.004774600821011114,0.0459706471562946,0.04970791372806355,Gaia3
265.97896406317,-39.18717285781,14.676523,14.953738,13.895331,0.003063,0.004567,0.007032,1.058406999999999,14.895406707428805,13.978329752821375,0.008384897912318313,0.046066751994374766,0.04985907750798986,Gaia3
265.95584330985,-39.17185412174,13.114241,14.062753,12.159409,0.002762,0.002899,0.003799,1.9033440000000006,13.772352763660596,12.03020409380278,0.00477876574023042,0.04605127084054765,0.049669290333906664,Gaia3
266.00934602021,-39.19740883526,13.188941,14.541587,12.057566,0.002787,0.003241,0.003848,2.4840210000000003,14.29228779294598,11.919463223332151,0.0050310222619264966,0.04614936547362994,0.049655990772324146,Gaia3
266.01858035044,-39.18812055871,13.634567,14.843187,12.559089,0.002792,0.003258,0.003963,2.284098,14.571438268548214,12.421603948604803,0.005130295605518263,0.0461249940076355,0.04966274606216372,Gaia3
266.01295816734,-39.18698201013,12.306402,13.094967,11.440172,0.00276,0.002845,0.003799,1.654795,12.809635506118731,11.32158974014693,0.004746201217816202,0.046023404590746775,0.049677406882408605,Gaia3
266.01151619445,-39.18661038361,13.649103,13.989203,13.113967,0.002762,0.002938,0.003854,0.8752359999999992,13.805384910206547,13.052692536744082,0.00484614898656655,0.045965664792713794,0.04971460050802072,Gaia3
265.99319467408,-39.18365679462,12.750589,13.428418,11.952197,0.00276,0.002875,0.003808,1.4762210000000007,13.155758242013661,11.844412131237396,0.004771424210861994,0.04600747568762085,0.049684780532280544,Gaia3
265.99438136076,-39.18496599662,14.38351,14.831779,13.76321,0.002762,0.002883,0.003981,1.0685689999999983,14.606207020724202,13.679859241154464,0.004915287377153039,0.04597846099908509,0.049706792300608926,Gaia3
