RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
266.11377233988,-39.15968735834,14.615133,0.002764,2.784,-1.492,0.239,Gaia
266.12619881697,-39.16875147457,14.143383,0.002763,-1.358,-0.998,0.7164,Gaia
266.09859723663,-39.15656101362,14.431425,0.002765,-2.733,-5.97,0.748,Gaia
266.09938361198,-39.15636166787,14.693497,0.003074,-2.597,-5.111,0.0216,Gaia
266.0897869105,-39.16226004078,15.718279,0.002775,-0.283,-1.482,0.4947,Gaia
266.10380391645,-39.1494968868,11.875582,0.002763,0.216,-2.985,0.4567,Gaia
266.11606302468,-39.14552702815,14.702295,0.003241,-2.809,-4.45,0.0615,Gaia
266.11469323928,-39.15037298462,13.417331,0.00277,0.275,-1.225,0.6767,Gaia
266.05955588275,-39.17256521281,15.450214,0.002778,-3.369,-4.943,0.0653,Gaia
266.08127175065,-39.1669918081,15.880147,0.002782,-0.123,-2.784,0.354,Gaia
266.07748921768,-39.15065230222,15.807691,0.002776,0.588,-5.048,0.1239,Gaia
266.08009625031,-39.15763687116,15.156207,0.00278,0.839,-2.824,0.9267,Gaia
266.07287729698,-39.16216577964,15.211209,0.00279,-2.373,-6.757,0.0161,Gaia
266.06580612998,-39.16184473344,15.944105,0.002847,0.265,-4.597,0.4198,Gaia
266.05564334399,-39.15206196643,13.386074,0.002762,-2.42,-5.147,0.4443,Gaia
266.05509440254,-39.15909667223,13.728524,0.003433,-5.53,-3.657,0.0633,Gaia
266.05473556396,-39.15453985943,11.45733,0.00278,-2.244,-4.207,0.665,Gaia
266.04645759147,-39.16170310976,15.480411,0.002808,2.762,-2.278,0.7222,Gaia
266.04993263513,-39.16570092833,15.031301,0.002853,0.014,-5.809,-0.0753,Gaia
266.05845939575,-39.1695474,15.442464,0.00278,-1.818,-5.164,0.1981,Gaia
266.06419806746,-39.16406608715,15.760133,0.002919,-2.373,-6.911,0.4956,Gaia
266.04886550514,-39.16082596877,15.453041,0.002783,-0.93,-8.594,0.1723,Gaia
