Timestamp,Telescope,Filter,Magnitude,Error,Source
2025-03-10 09:04:20,ATLAS,o,> 19.089301784,,ATLAS
2025-03-10 08:40:11,ATLAS,o,> 18.944321917,,ATLAS
2025-03-10 08:35:32,ATLAS,o,> 18.910912013,,ATLAS
2025-03-10 08:05:53,ATLAS,o,> 19.014393726,,ATLAS
2025-03-09 08:31:37,,OGLE_I,16.159,0.01,OGLE
2025-03-08 09:35:58,ATLAS,o,> 18.978792628,,ATLAS
2025-03-08 09:17:46,ATLAS,o,> 19.302877273,,ATLAS
2025-03-08 09:11:52,ATLAS,o,> 19.256668758,,ATLAS
2025-03-08 08:47:45,ATLAS,o,> 19.089301784,,ATLAS
2025-03-08 08:43:05,ATLAS,o,> 19.169763493,,ATLAS
2025-03-07 09:26:27,ATLAS,o,> 19.256668758,,ATLAS
2025-03-07 09:18:29,ATLAS,o,> 19.128787452,,ATLAS
2025-03-07 09:14:30,ATLAS,o,> 19.169763493,,ATLAS
2025-03-07 09:09:12,ATLAS,o,> 19.256668758,,ATLAS
2025-03-07 07:31:01,,OGLE_I,16.159,0.012,OGLE
2025-03-06 03:24:08,ATLAS,c,> 19.569015600,,ATLAS
2025-03-06 03:17:03,ATLAS,c,> 19.841876774,,ATLAS
2025-03-06 03:02:46,ATLAS,c,> 19.631074559,,ATLAS
2025-03-06 02:55:25,ATLAS,c,> 19.841876774,,ATLAS
2025-03-05 07:33:04,,OGLE_I,16.159,0.01,OGLE
2025-03-02 08:35:18,ATLAS,o,> 19.351140161,,ATLAS
2025-03-02 08:27:56,ATLAS,o,> 19.212346841,,ATLAS
2025-03-02 08:05:37,ATLAS,o,> 19.351140161,,ATLAS
2025-03-02 08:00:59,ATLAS,o,> 19.169763493,,ATLAS
2025-03-02 07:39:00,,OGLE_I,16.167,0.01,OGLE
2025-02-27 18:46:04,,OMEGA_apphot_gp,20.256232059,0.09,OMEGA_apphot_gp
2025-02-27 18:46:04,,OMEGA_cal_apphot_gp,18.452449707,0.087,OMEGA_cal_apphot_gp
2025-02-27 18:45:42,,OMEGA_cal_apphot_gp,18.454976752,0.097,OMEGA_cal_apphot_gp
2025-02-27 18:45:42,,OMEGA_apphot_gp,20.258967971,0.102,OMEGA_apphot_gp
2025-02-27 18:40:38,,OMEGA_apphot_gp,20.275986469,0.086,OMEGA_apphot_gp
2025-02-27 18:40:38,,OMEGA_cal_apphot_gp,18.47069601,0.082,OMEGA_cal_apphot_gp
2025-02-27 18:40:16,,OMEGA_apphot_gp,20.180188176,0.087,OMEGA_apphot_gp
2025-02-27 18:40:16,,OMEGA_cal_apphot_gp,18.382211226,0.084,OMEGA_cal_apphot_gp
2025-02-27 18:36:37,,OMEGA_cal_apphot_ip,16.611718268,0.088,OMEGA_cal_apphot_ip
2025-02-27 18:36:37,,OMEGA_apphot_ip,18.809942975,0.088,OMEGA_apphot_ip
2025-02-27 18:36:16,,OMEGA_cal_apphot_ip,16.611637343,0.126,OMEGA_cal_apphot_ip
2025-02-27 18:36:16,,OMEGA_apphot_ip,18.809860311,0.128,OMEGA_apphot_ip
2025-02-27 18:34:11,,OMEGA_cal_apphot_ip,16.630839158,0.069,OMEGA_cal_apphot_ip
2025-02-27 18:34:11,,OMEGA_apphot_ip,18.829474804,0.069,OMEGA_apphot_ip
2025-02-27 18:33:51,,OMEGA_apphot_ip,18.801996887,0.067,OMEGA_apphot_ip
2025-02-27 18:33:51,,OMEGA_cal_apphot_ip,16.603939361,0.067,OMEGA_cal_apphot_ip
2025-02-27 18:31:46,,OMEGA_cal_apphot_ip,16.598569694,0.077,OMEGA_cal_apphot_ip
2025-02-27 18:31:46,,OMEGA_apphot_ip,18.796511817,0.077,OMEGA_apphot_ip
2025-02-27 18:31:26,,OMEGA_cal_apphot_ip,16.547232976,0.105,OMEGA_cal_apphot_ip
2025-02-27 18:31:26,,OMEGA_apphot_ip,18.744071792,0.106,OMEGA_apphot_ip
2025-02-27 18:29:20,,OMEGA_apphot_ip,18.791120418,0.094,OMEGA_apphot_ip
2025-02-27 18:29:20,,OMEGA_cal_apphot_ip,16.593291727,0.093,OMEGA_cal_apphot_ip
2025-02-27 18:29:01,,OMEGA_cal_apphot_ip,16.572444543,0.066,OMEGA_cal_apphot_ip
2025-02-27 18:29:01,,OMEGA_apphot_ip,18.769825195,0.066,OMEGA_apphot_ip
2025-02-27 17:46:07,,OMEGA_apphot_gp,20.166247675,0.092,OMEGA_apphot_gp
2025-02-27 17:46:07,,OMEGA_cal_apphot_gp,18.369334982,0.088,OMEGA_cal_apphot_gp
2025-02-27 17:45:43,,OMEGA_apphot_gp,20.167799033,0.1,OMEGA_apphot_gp
2025-02-27 17:45:43,,OMEGA_cal_apphot_gp,18.370767904,0.095,OMEGA_cal_apphot_gp
2025-02-27 17:40:41,,OMEGA_cal_apphot_gp,18.430456799,0.097,OMEGA_cal_apphot_gp
2025-02-27 17:40:41,,OMEGA_apphot_gp,20.232421377,0.102,OMEGA_apphot_gp
2025-02-27 17:40:18,,OMEGA_apphot_gp,20.160371571,0.076,OMEGA_apphot_gp
2025-02-27 17:40:18,,OMEGA_cal_apphot_gp,18.363907476,0.074,OMEGA_cal_apphot_gp
2025-02-27 17:36:40,,OMEGA_cal_apphot_ip,16.617534414,0.096,OMEGA_cal_apphot_ip
2025-02-27 17:36:40,,OMEGA_apphot_ip,18.815884119,0.097,OMEGA_apphot_ip
2025-02-27 17:36:17,,OMEGA_cal_apphot_ip,16.637911458,0.099,OMEGA_cal_apphot_ip
2025-02-27 17:36:17,,OMEGA_apphot_ip,18.836699099,0.1,OMEGA_apphot_ip
2025-02-27 17:31:27,,OMEGA_cal_apphot_ip,16.674023977,0.103,OMEGA_cal_apphot_ip
2025-02-27 17:31:27,,OMEGA_apphot_ip,18.873587733,0.104,OMEGA_apphot_ip
2025-02-27 17:29:02,,OMEGA_apphot_ip,18.82614268,0.108,OMEGA_apphot_ip
2025-02-27 17:29:02,,OMEGA_cal_apphot_ip,16.627577141,0.107,OMEGA_cal_apphot_ip
2025-02-27 17:11:04,,OMEGA_apphot_gp,20.204713969,0.069,OMEGA_apphot_gp
2025-02-27 17:11:04,,OMEGA_cal_apphot_gp,18.404864652,0.068,OMEGA_cal_apphot_gp
2025-02-27 17:05:38,,OMEGA_cal_apphot_gp,18.401622974,0.076,OMEGA_cal_apphot_gp
2025-02-27 17:05:38,,OMEGA_apphot_gp,20.201204358,0.079,OMEGA_apphot_gp
2025-02-27 16:58:35,,OMEGA_cal_apphot_gp,18.586881279,0.121,OMEGA_cal_apphot_gp
2025-02-27 16:58:35,,OMEGA_apphot_gp,20.401774767,0.129,OMEGA_apphot_gp
2025-02-27 16:53:08,,OMEGA_cal_apphot_gp,18.489110296,0.108,OMEGA_cal_apphot_gp
2025-02-27 16:53:08,,OMEGA_apphot_gp,20.295922746,0.114,OMEGA_apphot_gp
2025-02-27 09:32:54,ATLAS,o,> 19.212346841,,ATLAS
2025-02-27 09:22:05,ATLAS,o,> 19.351140161,,ATLAS
2025-02-27 09:03:05,ATLAS,o,> 19.631074559,,ATLAS
2025-02-27 08:57:02,ATLAS,o,19.469,0.327,ATLAS
2025-02-27 08:46:14,,OMEGA_cal_apphot_gp,18.293733769,0.063,OMEGA_cal_apphot_gp
