night,filename,error
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0026_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0027_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0028_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0029_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0030_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0031_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0032_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0033_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0034_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0035_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0036_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0037_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0038_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0039_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0040_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0041_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0042_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0043_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0044_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0045_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0046_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0001_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0002_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0003_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0004_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0005_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0006_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0007_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0010_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0013_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0014_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0015_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0016_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0018_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0019_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0021_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0024_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0025_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0026_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0027_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0028_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0029_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0030_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0031_wcs.fits,name 'read_catalog' is not defined
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0034_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0001_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0002_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0003_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0004_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0005_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0006_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0007_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0008_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0009_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0010_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0011_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0012_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0013_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0014_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0015_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0016_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0017_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0018_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0019_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0020_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0021_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0022_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0023_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0024_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0025_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0026_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0027_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0028_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0029_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0030_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0031_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0032_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0033_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0034_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0035_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0036_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0001_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0002_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0003_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0004_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0005_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0006_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0007_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0008_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0009_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0010_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0011_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0012_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0013_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0014_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0015_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0016_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0017_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0018_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0019_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0020_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0021_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0022_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0023_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0024_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0025_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0026_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0027_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0028_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0029_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0030_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0031_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0032_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0033_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0034_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0035_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0036_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0037_wcs.fits,name 'read_catalog' is not defined
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0038_wcs.fits,name 'read_catalog' is not defined
