night,filename,band,exptime,use_image,cut_reasons,n_good,fwhm_median,ellip_median,theta_concentration,snr_median
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0014_wcs.fits,I,90.0,False,"trailing (ellip=0.44, θ_c=0.91)",433,8.61,0.438,0.9088921588040852,31.75
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0015_wcs.fits,I,90.0,True,,543,5.94,0.219,0.7505363952432771,28.18
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0017_wcs.fits,I,90.0,True,,205,4.9,0.159,0.6253873907538684,27.22
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0019_wcs.fits,I,90.0,True,,168,8.08,0.373,0.7925449476669386,37.375
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0020_wcs.fits,I,90.0,True,,249,4.78,0.157,0.5378972980556043,29.77
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0023_wcs.fits,I,90.0,True,,389,6.78,0.343,0.8688675241884863,28.41
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0024_wcs.fits,I,90.0,True,,350,5.425,0.1285,0.1583936177406776,29.26
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0025_wcs.fits,I,90.0,False,"trailing (ellip=0.43, θ_c=0.88)",148,8.59,0.4275,0.8766312787376732,31.94
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0026_wcs.fits,I,90.0,False,"high_ellipticity (0.479), trailing (ellip=0.48, θ_c=0.87)",115,8.83,0.479,0.874565564814044,31.44
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0027_wcs.fits,I,90.0,True,,705,5.89,0.304,0.833198668663655,29.36
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0028_wcs.fits,I,90.0,True,,810,4.895,0.1975,0.680634286439612,28.79
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0029_wcs.fits,I,90.0,True,,353,4.92,0.186,0.6800732279380224,28.74
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0030_wcs.fits,I,90.0,False,"trailing (ellip=0.41, θ_c=0.88)",316,7.23,0.415,0.8776354348171131,28.335
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0031_wcs.fits,I,90.0,True,,163,5.11,0.182,0.7097619840039517,29.19
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0032_wcs.fits,I,90.0,True,,279,5.2,0.235,0.8269025017836842,28.53
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0033_wcs.fits,I,90.0,False,"trailing (ellip=0.45, θ_c=0.86)",118,8.97,0.445,0.860629477451641,39.98
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0034_wcs.fits,I,90.0,True,,664,5.12,0.1355,0.4123844519698488,28.715
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0035_wcs.fits,I,90.0,False,"high_ellipticity (0.522), trailing (ellip=0.52, θ_c=0.95)",524,9.97,0.522,0.9488041217922168,31.325
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0036_wcs.fits,I,90.0,True,,269,5.24,0.21,0.7312590383804056,28.19
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0037_wcs.fits,I,90.0,True,,196,6.17,0.3115,0.8323471151631364,30.72
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0038_wcs.fits,I,90.0,True,,379,6.86,0.342,0.853787180168667,29.72
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0039_wcs.fits,I,90.0,True,,288,5.1,0.231,0.740981991198741,27.31
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0040_wcs.fits,I,90.0,True,,374,5.11,0.143,0.5639789360717616,28.69
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0041_wcs.fits,I,90.0,True,,417,5.33,0.196,0.7102534357879022,28.08
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0042_wcs.fits,I,90.0,False,"trailing (ellip=0.37, θ_c=0.85)",447,6.95,0.373,0.8512950872125886,28.76
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0043_wcs.fits,I,90.0,False,"trailing (ellip=0.36, θ_c=0.87)",567,7.64,0.361,0.8654918507621779,30.12
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0044_wcs.fits,I,90.0,True,,423,5.08,0.131,0.5097463720486727,28.27
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0045_wcs.fits,I,90.0,True,,128,6.64,0.3125,0.8509852489803328,29.06
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0046_wcs.fits,I,90.0,True,,107,4.96,0.169,0.6041480169291875,28.62
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0001_wcs.fits,V,90.0,True,,151,4.86,0.147,0.4772548774281993,28.85
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0002_wcs.fits,V,90.0,True,,106,6.57,0.2765,0.7074123279506171,37.65
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0003_wcs.fits,V,90.0,True,,100,6.995,0.26,0.6795988889355538,39.105
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0004_wcs.fits,V,90.0,True,,295,5.69,0.203,0.606172754615577,28.69
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0005_wcs.fits,V,90.0,True,,185,7.7,0.316,0.7126036869551542,32.0
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0006_wcs.fits,V,90.0,True,,153,5.32,0.176,0.5973358554642608,30.35
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0007_wcs.fits,V,90.0,True,,355,5.43,0.142,0.3002674156913409,27.11
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0010_wcs.fits,V,90.0,True,,121,8.29,0.339,0.7487226669178699,40.09
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0013_wcs.fits,V,90.0,False,high_ellipticity (0.469),108,9.29,0.469,0.6851986630125152,43.815
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0014_wcs.fits,V,90.0,True,,120,5.665,0.175,0.4675138967643089,37.55
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0015_wcs.fits,V,90.0,True,,210,4.98,0.1355,0.3514997531907579,32.0
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0016_wcs.fits,V,90.0,True,,120,6.5,0.246,0.7083498470853822,36.145
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0018_wcs.fits,V,90.0,True,,160,5.645,0.1735,0.5614464104267838,30.85
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0019_wcs.fits,V,90.0,True,,127,6.56,0.171,0.639844684099067,37.49
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0021_wcs.fits,V,90.0,True,,161,6.08,0.164,0.5773265803976315,32.99
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0024_wcs.fits,V,90.0,True,,111,9.23,0.319,0.8113126960352082,41.58
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0025_wcs.fits,V,90.0,True,,208,6.195,0.2005,0.6596918238511555,33.870000000000005
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0026_wcs.fits,V,90.0,True,,228,7.33,0.2775,0.6809222963679815,32.645
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0027_wcs.fits,V,90.0,True,,140,7.47,0.326,0.7371923012694389,34.985
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0028_wcs.fits,V,90.0,True,,287,6.34,0.144,0.3043952306842342,28.73
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0029_wcs.fits,V,90.0,True,,247,7.04,0.179,0.543735674272689,32.03
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0030_wcs.fits,V,90.0,True,,277,5.94,0.165,0.3885851202194327,30.2
