night,filename,filter,exptime,n_detected,n_good,fwhm_p25,fwhm_median,fwhm_p75,ellip_p25,ellip_median,ellip_p75,theta_mean,theta_concentration,snr_median,snr_p75,snr_max,mag_peak,mag_median
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0003_wcs.fits,I,90.0,201,136,4.44,4.91,5.54,0.0785,0.1295,0.268,-4.637640686630492,0.03891592908464767,27.555,48.6025,426.9,15.660856249999998,15.589749999999999
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0004_wcs.fits,I,90.0,238,183,5.055,5.45,6.095,0.1245,0.189,0.262,-4.030553945070944,0.6675110380092617,27.69,44.105000000000004,536.4,15.848118749999998,15.3815
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0005_wcs.fits,I,90.0,103,77,4.43,4.9,5.52,0.147,0.184,0.287,-17.66776684130244,0.4509837927760257,34.08,60.95,235.8,16.096365,15.5192
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0006_wcs.fits,I,90.0,417,326,5.49,5.9399999999999995,6.5725,0.158,0.1995,0.269,-1.3282160532053013,0.7263862929676789,32.05,58.8375,900.4,15.613075,15.14565
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0007_wcs.fits,I,90.0,587,417,6.72,7.2,8.22,0.166,0.214,0.284,-0.48923243285626633,0.6588833240116249,32.16,61.83,1018.0,15.145686249999999,15.0319
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0008_wcs.fits,I,90.0,686,524,5.06,5.45,6.4825,0.054,0.1225,0.216,-10.526826700100793,0.08678027899411574,29.384999999999998,59.78,918.2,15.70692125,15.3701
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0009_wcs.fits,I,90.0,558,365,8.07,8.66,9.65,0.349,0.429,0.519,-7.63705942506606,0.9070127648186888,33.7,69.56,1033.0,15.09607625,15.0539
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0010_wcs.fits,I,90.0,223,183,4.925,5.19,5.725,0.0795,0.129,0.2195,9.063733532947039,0.3959347467467638,31.74,61.43,493.8,15.6043825,15.3198
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0011_wcs.fits,I,90.0,86,64,6.3175,7.985,8.8325,0.24175,0.338,0.42074999999999996,2.99226644274187,0.7392238947786179,28.26,46.9525,202.9,15.40309125,15.274450000000002
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0013_wcs.fits,I,90.0,485,377,5.21,5.61,6.28,0.155,0.212,0.296,-17.84943838567106,0.7680129909396521,27.41,60.7,846.8,15.950703749999999,15.426
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0014_wcs.fits,I,90.0,595,433,8.09,8.61,9.59,0.372,0.438,0.503,2.248062093044269,0.9088921588040851,31.75,61.07,775.1,15.4941,15.0712
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0015_wcs.fits,I,90.0,714,543,5.53,5.94,6.9,0.157,0.219,0.307,9.33922090641119,0.7505363952432771,28.18,52.885,770.8,15.67822875,15.3989
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0017_wcs.fits,I,90.0,251,205,4.56,4.9,5.54,0.105,0.159,0.238,-18.884942509195223,0.6253873907538684,27.22,52.45,522.7,15.96198625,15.3942
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0019_wcs.fits,I,90.0,241,168,6.905,8.08,9.155000000000001,0.31,0.373,0.47,1.9738538814537714,0.7925449476669386,37.375,72.36,550.1,15.241833750000001,14.9539
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0020_wcs.fits,I,90.0,306,249,4.48,4.78,5.21,0.116,0.157,0.223,-2.1449344340760295,0.5378972980556043,29.77,53.93,410.6,15.849843750000002,15.4383
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0023_wcs.fits,I,90.0,512,389,6.26,6.78,7.64,0.274,0.343,0.405,-9.43641996809295,0.8688675241884863,28.41,57.05,903.4,15.438108750000001,15.3406
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0024_wcs.fits,I,90.0,445,350,5.06,5.425,6.205,0.055,0.1285,0.218,-21.05559225706139,0.1583936177406776,29.259999999999998,59.730000000000004,797.3,15.60099375,15.3793
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0025_wcs.fits,I,90.0,198,148,7.8325,8.59,9.5775,0.3765,0.4275,0.48275,-7.109475839196859,0.8766312787376732,31.94,65.24000000000001,352.0,15.03736375,14.8727
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0026_wcs.fits,I,90.0,157,115,7.4350000000000005,8.83,9.455,0.413,0.479,0.544,0.4963289837803094,0.874565564814044,31.44,50.285,377.8,15.41236875,15.2668
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0027_wcs.fits,I,90.0,926,705,5.52,5.89,6.66,0.256,0.304,0.359,3.8658623786643562,0.833198668663655,29.36,55.27,1226.0,16.056348749999998,15.3731
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0028_wcs.fits,I,90.0,1050,810,4.54,4.895,5.7,0.149,0.1975,0.274,-2.6716777880034437,0.680634286439612,28.79,53.92,1227.0,15.60805625,15.535250000000001
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0029_wcs.fits,I,90.0,423,353,4.59,4.92,5.59,0.131,0.186,0.236,-5.932568615109707,0.6800732279380224,28.74,58.09,735.1,16.017407499999997,15.5086
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0030_wcs.fits,I,90.0,399,316,6.175,7.23,7.7749999999999995,0.356,0.415,0.46625000000000005,-3.2031565912977578,0.8776354348171131,28.335,58.22,746.9,15.7702825,15.414200000000001
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0031_wcs.fits,I,90.0,194,163,4.845,5.11,5.795,0.1305,0.182,0.2475,7.633481081237668,0.7097619840039517,29.19,56.379999999999995,436.7,15.32105375,15.3518
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0032_wcs.fits,I,90.0,332,279,4.725,5.2,5.985,0.1895,0.235,0.3015,-15.865329261000133,0.8269025017836842,28.53,56.195,626.8,15.869206250000001,15.4693
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0033_wcs.fits,I,90.0,290,118,7.8100000000000005,8.97,9.55,0.3825,0.445,0.508,7.345249797463946,0.860629477451641,39.98,87.0075,589.9,15.1739125,14.91535
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0034_wcs.fits,I,90.0,844,664,4.71,5.12,5.95,0.077,0.1355,0.21325,17.34419323743699,0.41238445196984885,28.715,53.59,1118.0,16.0374075,15.4976
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0035_wcs.fits,I,90.0,783,524,8.6075,9.97,10.6625,0.47,0.522,0.5802499999999999,-2.7871087573408717,0.9488041217922167,31.325,60.0175,1346.0,15.577762499999999,15.056799999999999
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0036_wcs.fits,I,90.0,338,269,4.95,5.24,5.79,0.167,0.21,0.265,3.68688318499069,0.7312590383804056,28.19,52.03,641.5,15.64261875,15.4609
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0037_wcs.fits,I,90.0,246,196,5.7675,6.17,6.7975,0.26025,0.3115,0.372,-7.876479707376678,0.8323471151631364,30.72,54.23,537.7,15.5063225,15.280249999999999
