RA,DEC,B,B_err,V,V_err,R,R_err,I,I_err
276.94315051,-26.68479999,19.326638,0.03640634477670067,18.369476,0.018440514092616832,17.817705999999998,0.02052028569489226,17.363574,0.018870438256701934
276.9455648,-26.68894299,19.259647,0.24161463076560574,18.628594,0.1734518238589609,18.254088999999997,0.17370545831953582,17.897231,0.15987271436990116
276.94257506,-26.68737188,17.566707,0.035444477200263516,16.512714,0.017692900723171427,15.908309,0.019850957785457105,15.324610999999999,0.018869787068220987
276.94067561,-26.69072867,18.399195000000002,0.03606096282685752,17.09589,0.018440416481196948,16.355965,0.020520148634939273,15.702235,0.021262338535542134
276.93838178,-26.69145543,19.466357,0.036060129339756955,18.468014,0.0169717845850105,17.893859,0.019211059314884225,17.344061,0.01886991595105818
276.93688747,-26.6839999,19.250783000000002,0.04281234700410619,18.477266,0.015624075780666196,18.025320999999998,0.018032598259818244,17.460158999999997,0.02000496578352485
276.93498692,-26.68795959,18.575528,0.03573982708408087,17.095256,0.017692986180970132,16.259135999999998,0.019851076796990132,15.521544,0.02334682505181379
276.93494624,-26.68960633,17.917219,0.035739422770940214,17.112538,0.016971687011019265,16.643653,0.019210924626368194,16.160987,0.020617173424114177
276.93316361,-26.68941908,18.515011,0.036063014405343326,17.469922,0.02163486519486544,16.870357,0.02343299596722536,16.220803,0.021263109085926265
276.92957813,-26.691358,18.979584000000003,0.04405793535788985,18.291768,0.01769568399356182,17.886407999999996,0.019854833794318197,17.323631999999996,0.018874426295916916
276.92903929,-26.68411206,19.514332000000003,0.03716718950902799,18.599464,0.016280350856170148,18.070684,0.01860316774100583,17.551236,0.020617676299719133
276.9276291,-26.68984785,19.490504,0.038019738925984224,18.624608000000002,0.016972399712474367,18.122448,0.019211908416396327,17.647792000000003,0.01941934211038057
276.92315881,-26.68757598,19.406693,0.19909400734326488,18.711086,0.13855061977486785,18.301491,0.13885938391048694,17.909588999999997,0.12706970433584866
276.92225932,-26.68930053,18.025983,0.035739050798811095,16.584666,0.016279890908725402,15.769721,0.018602538805227633,15.045758999999999,0.018869603917411725
276.91824622,-26.69167565,18.079594000000004,0.035739050798811095,17.135788,0.016279890908725402,16.591277999999996,0.018602538805227633,16.059361999999997,0.019418083118577897
276.9176593,-26.68534641,18.915832000000005,0.03605942406639352,17.444464,0.015621623987281221,16.613183999999997,0.01802927896506125,15.898735999999998,0.02126176060442785
276.91676338,-26.69080598,19.278242000000002,0.03895832901960761,18.441284,0.020810900989625604,17.954854,0.022674793273589067,17.409666,0.020004159567449966
276.91438192,-26.68880177,19.173367000000002,0.03716718950902799,17.919034,0.016280350856170148,17.205728999999998,0.01860316774100583,16.568791,0.020002214277424386
276.91209511,-26.68794832,19.645860000000003,0.03606142764783447,18.57072,0.01921075573734672,17.954819999999998,0.021215160263358842,17.37778,0.020002361460587596
276.91177628,-26.68637217,19.359064,0.23072217155704824,18.626728,0.16846231018242627,18.197167999999998,0.16872180297756423,17.786672,0.1558894904988787
276.90893487,-26.68742389,18.283915999999998,0.03544335198595076,16.888232000000002,0.015621421190147842,16.098092,0.018029004409561834,15.362867999999999,0.0188693190126194
276.90808091,-26.68901939,17.671323,0.03640482061485814,16.430346,0.01562173921175232,15.724301,0.018029434960641445,15.060579000000002,0.018869787068220987
276.90497318,-26.68669409,19.117911,0.04221769799503521,18.406722,0.02594544615149256,17.988657,0.027463787976169635,17.302502999999998,0.07864664915938886
276.90073092,-26.68977619,16.995291,0.03544335198595076,15.460482,0.015621421190147842,14.594717,0.018029004409561834,13.775243,0.0188693190126194
276.89892163,-26.68467614,19.606539,0.03716754718837389,18.401178,0.016972128210687075,17.714492999999997,0.019211533645183042,17.105347000000002,0.026402546543846862
276.89642998,-26.68745352,16.712136,0.03544369444626223,15.249672,0.016279798033145252,14.423232,0.01860241180599978,13.657928,0.018869461465553277
276.89451235,-26.69158738,19.616487000000003,0.036405916112632025,18.629274000000002,0.0176931815115315,18.061169,0.01985134882067211,17.486551,0.024084985530408772
276.89175694,-26.6847143,18.940734000000003,0.036059760675855854,17.752068,0.01627999262899096,17.074457999999996,0.018602677898625238,16.416582,0.01941823472924354
276.89150989,-26.69190016,15.36446,0.03517367299558009,14.51192,0.015000777579845652,14.01702,0.017493897507416693,13.53658,0.019417555767912705
276.89093046,-26.6881075,19.508965000000003,0.04810062806242763,18.52843,0.02081365128947826,17.963955,0.022678737288482353,17.430445,0.023353156531826697
276.88729144,-26.68753554,19.427439000000003,0.0384777988975461,18.555978,0.016972548188177283,18.050793,0.01921211336631137,17.498047,0.020618433694148543
276.88711968,-26.68564197,18.56211,0.03640482061485814,17.76522,0.01562173921175232,17.300569999999997,0.018029434960641445,16.89203,0.024840870838197276
276.88675961,-26.68399976,16.396339,0.035444477200263516,14.745778000000001,0.017692900723171427,13.817093,0.019850957785457105,12.800747,0.040312142885239925
276.8802485,-26.69050069,16.984778000000002,0.03544335198595076,15.782756,0.015621421190147842,15.097885999999999,0.018029004409561834,14.438794,0.019417806261264426
276.877342,-26.68897436,18.184918000000003,0.03640551919695694,16.738036,0.016971890643060365,15.920065999999998,0.019211205714374097,15.182013999999999,0.019418551130298056
276.87411408,-26.68815579,17.489852,0.035739422770940214,16.619504,0.016971687011019265,16.114924,0.019210924626368194,15.640196,0.018869759934879934
276.94463544,-26.69278728,17.348128,0.035739050798811095,16.090456,0.016279890908725402,15.375336,0.018602538805227633,14.682344,0.018869603917411725
276.94201798,-26.69339957,17.457743999999998,0.03544406951804491,16.013088,0.01697159792123299,15.196328000000001,0.019210801649072327,14.458312,0.0188696174841993
276.93966753,-26.69355558,19.166854000000004,0.036060530057113696,18.245308,0.017693079777133205,17.712897999999996,0.01985120714213622,17.169342,0.019418551130298056
276.92529408,-26.69784001,18.646942,0.03716718950902799,17.698684,0.016280350856170148,17.151753999999997,0.01860316774100583,16.609766,0.01887030937743205
276.92502545,-26.69601214,19.295854,0.036780240347229924,18.374308,0.02506188181282483,17.841897999999997,0.026629926774214007,17.275342,0.020004351526605405
276.92311201,-26.69552195,18.650074,0.039970610102924374,17.661748,0.016281306090114515,17.093038,0.01860447392430111,16.495402,0.018871774479364677
276.91667131,-26.69825511,18.835052000000005,0.19909400734326488,18.409904,0.13855061977486785,18.147323999999998,0.13885938391048694,17.902796,0.12706970433584866
276.91306499,-26.69330578,19.198133000000002,0.03640551919695694,18.368966,0.016971890643060365,17.886770999999996,0.019211205714374097,17.439709,0.018870085532397565
276.91074926,-26.69501318,18.993070000000003,0.035739050798811095,18.10714,0.016279890908725402,17.59409,0.018602538805227633,17.089109999999998,0.019418083118577897
276.90631085,-26.69227188,17.482732000000002,0.035740263737135465,16.345264,0.01844032667823431,15.695484,0.020520022538973975,15.059436000000002,0.019418577496819894
276.904358,-26.69803689,17.527587,0.035739050798811095,16.206474,0.016279890908725402,15.456869000000001,0.018602538805227633,14.797851,0.018869603917411725
276.90068988,-26.69288584,18.959831,0.0357407327289187,18.070562000000002,0.019210669535443058,17.555697,0.021215038298339223,17.063663,0.020002214277424386
276.95315023,-26.6852514,19.571204,0.038027050687635504,18.594008000000002,0.027733222243367252,18.031348,0.02915828612933209,17.500892,0.020005848744804603
