objid,RA,Dec,r,dr,g,dg,i,di,dupvar,x,y
76102769153525885,276.91535291,-26.57868205,17.243,0.011,17.885,0.012,16.973,0.019,2,704.1081265195915,270.36317828986677
76102769178686923,276.91786875,-26.57781769,17.668,0.012,18.603,0.013,17.258,0.014,2,689.5936403607052,264.8395393515538
76102769191505383,276.91915055,-26.5791005,16.994,0.015,17.544,0.01,16.756,0.011,2,682.2412889283034,273.1247612547542
76102769224362755,276.92243603,-26.58129081,18.537,0.019,18.951,0.013,18.418,0.03,2,663.3692590321682,287.2907500016352
76102769238104598,276.92381078,-26.57975474,18.233,0.015,18.895,0.017,17.943,0.013,2,655.4114002421727,277.4210446482757
76102769301682287,276.93016829,-26.58168111,18.242,0.118,18.758,0.156,18.042,0.111,2,618.8366501311293,289.9428303095238
76102769328938695,276.93289313,-26.57634061,18.298,0.117,18.927,0.156,18.032,0.108,2,603.0038017712237,255.59316616611125
76102769376611269,276.9376615,-26.58252878,18.0,0.11,18.485,0.127,17.818,0.107,2,575.6931938971472,295.53919510366603
76102769463996638,276.94639936,-26.57805464,17.102,0.011,18.133,0.011,16.646,0.011,2,525.2412652784056,266.88283205360125
76102769501074774,276.95010796,-26.57960814,17.934,0.014,18.61,0.025,17.525,0.015,2,503.9178515406537,276.9590569810698
76102769521278525,276.95212708,-26.57648213,17.844,0.106,18.473,0.114,17.578,0.104,2,492.20359508318126,256.8622779215473
76102769525133710,276.95251379,-26.58049472,14.24,0.018,15.509,0.011,13.652,0.01,2,490.0821028923608,282.7153257953122
76102769543068713,276.95430673,-26.57632576,15.624,0.011,16.565,0.01,15.149,0.011,2,479.64281633067327,255.89664498883303
76102769569587997,276.9569583,-26.57692229,17.562,0.102,18.414,0.107,17.166,0.101,2,464.3834506777464,259.7898411824908
76102769606818730,276.96068147,-26.57631162,18.281,0.012,18.799,0.013,18.136,0.034,2,442.91850990311565,255.9283705315492
76102769625565256,276.96255614,-26.57920639,17.556,0.011,18.116,0.012,17.322,0.011,2,432.1969564940796,274.61047185949394
76102769644652857,276.96446585,-26.58120575,17.699,0.015,18.491,0.013,17.314,0.011,2,421.2498440204869,287.52594703458686
76102769645155173,276.96451598,-26.57927556,16.653,0.011,17.304,0.011,16.376,0.011,2,420.90877101568174,275.0942922664847
76102769674387848,276.96743818,-26.57704672,15.718,0.011,16.303,0.01,15.456,0.01,2,404.01413742362683,260.7954147155221
76112768665631340,276.86656368,-26.57413687,18.225,0.012,18.934,0.016,17.912,0.019,2,985.0698881338203,240.29308121318417
76112768689682433,276.86896863,-26.57322605,17.496,0.013,18.264,0.02,17.173,0.015,2,971.1947183742586,234.46296149994362
76112768706671685,276.87066771,-26.57384897,17.913,0.027,18.44,0.016,17.665,0.045,2,961.4201967627841,238.5013247917483
76112768723472404,276.87234762,-26.57325016,17.175,0.013,17.775,0.012,16.937,0.012,2,951.7287976635794,234.67015556743524
76112768948895424,276.89488953,-26.57073316,18.419,0.116,18.877,0.146,18.253,0.11,2,821.8049556607033,218.8171115564769
76112768953110898,276.89531181,-26.57450459,16.594,0.011,17.134,0.01,16.382,0.012,2,819.4611583480362,243.11644951274542
76112768982627959,276.89826211,-26.56862042,18.07,0.015,18.594,0.02,17.793,0.013,2,802.324844620119,205.26434513436845
76112769024875104,276.90248787,-26.5709998,17.79,0.022,18.606,0.014,17.467,0.011,2,778.036199094772,220.66086814157416
76112769048714967,276.90487105,-26.57111397,18.229,0.01,18.82,0.011,17.947,0.013,2,764.3091363619432,221.43639894219973
76112769051268072,276.90512613,-26.56852674,16.751,0.012,17.381,0.013,16.475,0.011,2,762.7772401168891,204.77594937287978
76112769062183703,276.90621897,-26.57216784,17.213,0.017,17.904,0.023,16.836,0.011,2,756.5690556918942,228.24736123774954
76112769118817032,276.91188157,-26.56939359,18.384,0.128,18.962,0.161,18.148,0.121,2,723.8786160381359,210.47472929811812
76112769132673478,276.91326772,-26.5723546,17.717,0.01,18.77,0.015,17.242,0.013,2,715.9652865874009,229.57096555556132
76112769185298500,276.91852969,-26.56816961,17.684,0.015,18.29,0.013,17.495,0.013,2,685.5470839377954,202.70631485936502
